qtd_times,lahc_grid_results,lahc_custos,lahc_tempo,sa_grid_results,sa_custos,sa_tempo,ils_grid_results,ils_custos,ils_tempo,e0,en,d0,dn
7,"[[4, 2, -6, 3, 5, -7], [6, -5, -4, 1, 7, -3], [-2, -7, 1, -5, -4, -6], [6, -3, 2, -1, 5, 7], [7, 3, 1, 2, -4, 6], [-3, 5, 7, -2, 1, 4], [6, -2, 4, 1, -3, -5]]",11319,0.023820877075195312,"[[-7, 3, 5, 2, -6, 4], [6, 3, 7, -1, -5, -4], [5, 7, -6, 1, -4, 2], [-6, 7, -3, -1, 2, -5], [-2, -7, 3, 6, -1, 4], [1, -3, -7, -5, -4, 2], [2, -3, 5, -6, -4, -1]]",12082,0.021854400634765625,"[[6, 4, -3, 5, -2, -7], [1, -5, -4, -6, -3, 7], [1, 2, 4, 5, 7, 6], [-6, 3, 1, 2, -7, -5], [3, 7, -4, 2, 1, -6], [7, -5, -1, 4, 3, 2], [3, 6, -5, 2, -1, 4]]",8069,0.02168893814086914,5,15,50,1000
8,"[[-4, 7, -8, -2, 5, 6, -3], [4, 8, -7, 3, 6, -1, -5], [4, 2, 8, 5, -7, 6, -1], [-8, -2, -3, -6, 1, 5, 7], [-1, 8, 2, -7, 6, 3, 4], [-2, -7, 5, 8, -4, -1, 3], [-2, 3, 4, -6, 8, 1, -5], [-7, 5, 4, 6, -2, -3, 1]]",15488,0.023998737335205078,"[[4, 7, 2, -3, -5, 8, -6], [7, 5, -3, -6, -1, 4, -8], [2, 5, -7, 1, 8, -4, -6], [1, 3, -7, 2, 8, 5, -6], [-4, 2, 3, -7, 1, -6, 8], [8, 4, 7, 1, -3, 5, 2], [1, -2, -6, -5, 3, -8, -4], [6, -5, 3, 4, 7, 1, -2]]",14794,0.023366689682006836,"[[-6, 5, 3, 2, 7, 4, 8], [1, -3, -8, 5, 6, -4, -7], [1, 6, -5, 8, -4, 7, -2], [8, 3, 2, -6, 5, 1, 7], [-4, 3, -7, 1, 2, 8, -6], [5, -2, 1, 4, 7, 8, 3], [-5, 2, 3, 8, 4, -6, -1], [-3, 2, -1, 7, 6, -4, -5]]",13514,0.026172637939453125,5,15,50,1000
5,"[[-2, 4, -3, -5], [4, -1, 3, -5], [5, -4, -2, 1], [-3, -1, 2, 5], [-1, -2, -3, 4]]",8592,0.013386726379394531,"[[-5, 2, 3, 4], [1, -5, 3, 4], [5, 4, -2, 1], [-2, 5, -3, 1], [1, -2, 3, -4]]",6933,0.013187646865844727,"[[5, 3, 4, 2], [-3, 1, 5, -4], [1, 4, 2, 5], [1, 5, 3, 2], [-2, 1, -3, -4]]",2914,0.012702226638793945,5,15,50,1000
10,"[[10, 8, 4, -2, -5, 3, 7, 6, 9], [-9, 5, -1, -8, 7, -6, 10, 4, 3], [7, 9, -5, -1, 4, -6, 10, -2, 8], [6, 10, -8, -7, -5, 3, 2, -1, -9], [-9, -4, 10, 3, 1, 7, -8, -6, -2], [3, -10, -4, 8, 9, -5, -7, -2, -1], [-5, -1, -9, -4, 3, -6, 8, 2, -10], [5, 1, 3, 2, -7, 6, -10, -9, -4], [2, -5, -10, -6, -8, 1, -3, 7, -4], [-4, -9, 3, -1, -5, -7, -2, -6, 8]]",22687,0.03649544715881348,"[[-9, 4, -5, -7, -8, -6, 3, 2, -10], [-7, -5, 6, -10, 1, -3, -8, -4, -9], [1, 5, -9, 2, -4, 6, -7, -8, 10], [3, -10, -5, 6, -1, -2, 9, -7, -8], [-10, -6, -8, 3, -4, -9, -1, 7, 2], [10, 1, 5, -4, 8, 7, -9, -2, -3], [3, 2, -10, 8, -4, -9, 1, 6, 5], [-7, -9, 6, -1, 2, -10, 5, -3, 4], [-4, 8, 10, -6, -1, -2, 3, -5, 7], [-5, -9, 4, 7, -1, -2, -3, -8, -6]]",22277,0.036458730697631836,"[[-2, -7, -8, 9, 5, -4, 3, 6, -10], [7, -3, 5, -10, -1, 4, -8, 6, 9], [-4, 2, 6, 1, 8, 10, -9, -5, 7], [10, 8, 2, 6, -9, -5, -7, 1, -3], [1, 3, 7, 2, 8, -6, -9, 10, 4], [-3, -4, 8, 10, -9, -2, -1, 5, 7], [-3, -6, 10, 9, 2, -4, 5, 8, 1], [2, -3, 7, 5, 10, 4, 9, 1, 6], [-5, -7, -4, -10, -6, -8, -3, -2, 1], [4, 3, -9, 6, 2, 7, 5, 8, -1]]",19153,0.036457061767578125,5,15,50,1000
13,"[[12, 13, 2, 4, 9, 11, -10, -7, 8, 6, 3, 5], [-4, 5, -10, 3, -1, -7, 6, -11, -12, 13, 9, -8], [-12, -5, 6, -13, 10, -4, 1, 9, -2, 11, -7, -8], [-11, -12, 9, -3, 7, 13, -1, 10, -2, 5, -6, 8], [-2, -4, 11, -9, -7, 10, 13, -3, -1, 8, 12, -6], [9, 4, 13, 12, -11, 5, 10, -3, -1, 8, -2, 7], [-4, 9, -13, 12, -2, -1, -5, 11, 6, 3, -8, 10], [-6, 13, -3, 1, -12, 4, -10, -9, 5, -11, 7, -2], [-5, -8, 6, 13, -7, 11, -4, 10, -2, 12, 1, 3], [6, 7, -8, 9, 5, 3, -11, -4, 13, -2, -1, 12], [8, -10, 12, -13, 9, -5, -3, 1, -6, 4, 2, -7], [-10, -7, -13, 3, 8, 9, -1, -11, -2, 5, 4, -6], [-12, -3, 2, -7, 5, -8, 1, 10, -6, -11, -4, -9]]",37844,0.048922061920166016,"[[-10, -12, 4, 13, 9, 2, 11, 7, -3, -5, 6, -8], [3, 5, -9, -13, -8, -6, 11, -1, 12, 7, -10, -4], [12, 6, 10, -5, -2, 11, 13, 9, 8, -7, -1, 4], [10, -2, 13, 12, -5, 11, -9, 3, -1, -6, -8, -7], [11, -12, 7, 10, 3, -8, -6, -2, -4, 1, -9, -13], [-8, 5, 4, -3, 10, -1, 7, -11, -2, 12, -13, -9], [10, -9, 5, 4, -13, 11, -8, -6, -3, -12, 2, -1], [-3, -2, -4, 5, 12, 6, 11, -9, 10, 7, 1, -13], [8, 13, 10, 12, -1, -11, -4, -5, -2, 3, -6, 7], [-3, 12, 1, -5, 9, -8, 13, -6, -2, -4, -11, 7], [-12, 4, 6, 3, -5, -13, 9, 10, -8, 2, -7, 1], [-3, -1, 6, 11, 2, 5, -8, -7, -4, -9, -10, 13], [-5, 1, 3, -12, -11, -10, -9, -4, 6, -2, -7, -8]]",31915,0.048979997634887695,"[[2, 5, 12, -10, 13, -9, 11, 3, -4, -7, -8, -6], [1, 7, -10, 4, -12, 6, 5, -13, 11, 3, -9, -8], [-12, 13, 9, -5, -6, -2, 10, -7, 1, 4, 8, -11], [-10, 3, 2, 5, -8, 9, -7, 12, 13, -11, -1, -6], [8, 9, 4, -12, -10, -3, -6, -7, 1, -11, -2, -13], [13, -2, -7, -9, -10, 5, -11, -12, 4, -3, 8, -1], [2, 8, 9, 11, 3, 10, 1, -4, 13, 12, -6, 5], [12, 13, -5, -3, -10, -9, -4, -7, -11, -1, -2, -6], [7, 6, 2, 5, -13, 11, -8, 4, -12, -3, 1, -10], [-4, -8, 9, 6, 3, -7, -11, -1, -13, 2, -5, -12], [13, 2, -12, -5, -8, -6, 9, -3, -1, -10, 4, 7], [7, 10, 2, -3, 6, 1, -5, 9, -13, -4, 8, -11], [-12, 1, -3, 8, -10, 4, -2, -7, 5, 11, 6, -9]]",33953,0.05822277069091797,5,15,50,1000
13,"[[9, 4, -10, 2, -12, -7, 6, 11, -3, 8, -13, -5], [11, -4, 1, -3, -5, -10, -6, 7, -13, -8, -12, -9], [-5, 12, -11, 9, 2, -7, -1, 6, -13, 10, 8, 4], [-13, 2, -5, -3, 12, 9, 10, 1, -8, 11, -6, -7], [13, 8, 10, 2, -7, 4, -3, 11, 6, 1, 9, 12], [9, 1, 5, -12, -13, -3, -4, -2, 10, -8, 7, 11], [9, 3, -2, 1, -13, -12, 6, -8, -10, 5, 4, 11], [3, -4, -13, 9, 5, 2, -7, -11, -10, -6, -12, 1], [-10, 11, -6, 12, -3, -7, -4, 13, -2, -8, 5, -1], [2, 8, 3, 13, 1, 7, 9, -5, -6, 11, -4, 12], [-8, -3, 6, 5, -13, 12, 9, -1, -7, 10, 2, 4], [-9, 13, 3, -6, 4, 10, -2, -1, -5, 7, 8, -11], [-8, 3, -2, 9, 4, 11, -1, -6, -12, 7, -5, -10]]",39702,0.051972150802612305,"[[-13, 2, 12, 10, -5, -3, 4, -7, 6, 11, 9, -8], [7, 8, 4, 6, 1, 11, 10, -13, -5, -3, -12, -9], [-9, 5, -1, -6, -12, 7, 11, 10, -2, -8, 13, 4], [9, -7, -2, -5, 13, 10, -12, 3, 11, -8, -1, 6], [2, -3, 6, -7, -1, -8, -13, -4, -11, 9, -10, 12], [-12, -8, 1, -3, -5, 9, 13, -2, -4, 7, 10, -11], [-2, 9, -4, 3, -13, -5, 10, 8, -12, -6, 11, 1], [-7, -13, 6, -5, -10, 2, -9, -1, 4, 3, 11, -12], [3, -1, -10, 6, 8, 5, -11, -13, -4, 12, -7, -2], [11, -6, 2, -12, -5, 1, -13, -4, -7, -3, -8, -9], [3, -5, -13, 10, 4, 9, -1, -6, -12, -8, 2, -7], [-13, 8, -5, 3, 10, 7, 1, -11, 6, 9, 4, -2], [10, 8, 5, -3, 6, 11, 1, 7, -2, -4, 9, 12]]",33590,0.04773974418640137,"[[9, 12, 8, 5, -13, 4, 11, -2, 7, 6, -3, -10], [-8, -6, -1, -5, 12, 4, -11, 9, 10, 13, 3, -7], [8, 1, -10, -4, 7, -13, -9, -12, -6, 2, -11, -5], [-1, 12, 10, 8, 6, -9, -11, -2, -7, -3, 5, -13], [-3, -2, -11, 4, -6, -1, 9, 12, 8, 10, 7, -13], [7, 4, 12, -2, -8, -3, 5, 11, 13, 10, 9, -1], [-3, -5, 9, 4, -13, 1, -12, -6, -8, 10, -2, 11], [-11, 1, -7, -2, 10, -12, 5, 4, -6, 9, 13, 3], [13, -12, 5, 10, -2, 4, -11, -7, -3, 8, -1, 6], [4, 11, -9, 3, -6, 7, 1, -12, 8, -2, 13, 5], [5, 2, 8, 6, 13, 1, -7, -3, 10, -12, 4, -9], [10, 2, 13, -8, 11, -7, 5, -9, -6, 4, 3, 1], [10, 11, 9, 1, -2, -8, -3, 7, 5, 4, -12, 6]]",30195,0.059923410415649414,5,15,50,1000
6,"[[3, -5, -4, 6, 2], [4, -1, 5, -6, -3], [-1, -5, 6, 4, -2], [-1, 2, 5, 3, -6], [2, -3, -4, -6, -1], [5, -4, -3, 1, -2]]",12050,0.01613783836364746,"[[-6, 3, 4, -5, -2], [-1, -6, -4, -3, 5], [4, -6, 5, 1, 2], [3, 6, -2, -1, -5], [4, -3, 1, 2, -6], [4, -2, -3, 5, 1]]",11730,0.01730656623840332,"[[-6, -4, -3, 5, -2], [-6, 5, -4, 1, 3], [1, -4, 2, 5, 6], [1, 2, 6, 5, -3], [3, -2, 1, -4, 6], [-3, 5, -4, 1, 2]]",6842,0.01789546012878418,5,15,50,1000
13,"[[3, -13, 9, -8, -12, 10, -6, 11, 4, 7, 5, -2], [12, 3, -4, 6, -11, -8, 5, -13, -7, -1, -10, -9], [12, -6, -13, -2, -10, 7, 8, 5, 4, -11, 9, 1], [5, 12, -3, -6, -2, -10, 13, -11, -7, -1, -9, 8], [-13, -9, -3, 12, -4, 1, -7, -11, 8, -10, -2, 6], [-8, 4, -9, 5, -13, -12, 1, -3, 7, 2, 11, -10], [3, 8, -6, 12, 4, 5, 2, 11, 1, -9, 10, -13], [4, 10, -12, 3, -7, 13, -5, 9, -1, 11, 6, -2], [-1, -12, -8, -2, 6, 10, -11, 7, 13, 4, -5, 3], [12, 2, -7, -4, -9, -3, 1, 8, 5, 11, -13, 6], [-7, -8, -10, 13, 3, 1, 4, 2, -9, 6, 12, -5], [-10, -9, 11, 2, 7, -1, 6, 13, 8, 3, 4, -5], [-1, 4, -5, -6, -12, 9, 7, -10, -3, -11, 8, -2]]",28039,0.05055427551269531,"[[-6, -2, -13, 9, -10, 12, -3, -11, 4, 5, -8, -7], [5, -10, -11, 8, -3, 6, -12, -7, 13, -9, -1, 4], [1, 8, 11, -13, 10, -2, -6, 5, -12, -7, -4, -9], [9, 8, 6, 10, 13, 5, -1, -2, -11, -3, -7, 12], [-2, -1, 7, -9, -13, 6, -10, -11, 12, -3, 8, -4], [10, 13, 4, 8, 7, -1, 2, -9, 11, -3, -12, 5], [-10, -9, 3, 13, 12, -4, 1, 2, 8, -6, 11, -5], [-2, 9, -13, -5, 1, -7, -12, -3, -11, 4, 6, 10], [5, -1, 2, -13, -7, -12, 3, 4, -8, -11, 6, -10], [-11, -8, 12, 1, 4, 2, 7, -6, 13, 3, 5, -9], [12, -10, 8, 9, -2, 5, 6, 4, 3, -1, -7, 13], [-7, 6, -13, -9, 4, 1, -2, -8, -11, 5, -3, -10], [-10, -8, 9, -11, 2, -3, -4, -7, -5, 1, -6, -12]]",22215,0.052076101303100586,"[[-6, -12, 9, 4, -10, -13, -8, 2, -11, 3, -7, -5], [9, 7, -13, -12, -6, -8, -11, -3, -4, 10, -1, 5], [11, -6, 10, 1, 2, -8, -9, 5, -13, -7, 4, 12], [-10, -12, -8, -2, 6, 1, 7, 5, -13, 3, -9, 11], [-7, -11, 6, 8, 4, 1, 13, -10, -2, 12, -3, 9], [-1, 4, -5, -7, -12, 2, -11, 9, -8, -13, -10, -3], [1, -5, -2, -9, -8, 3, 6, 10, -11, 13, 4, 12], [-9, 3, -12, -7, 2, 10, -11, 6, 4, 1, 13, 5], [-2, -6, 5, -12, 8, 7, 4, -3, -11, 1, 13, -10], [13, 7, 5, 1, 12, 9, -2, 8, 11, -6, -4, -3], [-3, -10, 13, 4, 12, -8, 2, -6, -1, -5, 9, -7], [-5, -1, -13, -10, -11, -9, 8, -4, -7, 2, 3, 6], [8, 3, 10, 1, 9, 6, 11, -7, 5, -12, 4, -2]]",22922,0.058897972106933594,5,15,50,1000
15,"[[7, 14, 4, 9, -3, 13, -12, -2, 10, 11, -6, 15, -8, 5], [-8, -13, 7, 6, -5, -1, 9, 14, 3, 12, 11, 15, -10, -4], [10, -1, -7, 4, 5, -2, 13, -8, 6, 14, -15, 11, -12, -9], [-11, 2, 13, -9, 8, 10, -1, 3, 5, -15, -14, 12, -7, -6], [11, 10, 1, -12, 13, -2, 8, -6, 15, 14, 9, 3, 4, -7], [-10, 13, -9, 8, 12, 4, -14, 7, -2, 3, -11, 15, 1, -5], [-9, -14, 2, 12, 4, 5, -11, 6, 13, 1, 10, -8, -15, 3], [1, -6, 7, 5, -15, -9, 13, -11, 2, 10, -4, -3, 12, -14], [12, 3, 14, 4, -11, -2, 7, -13, -8, -6, 10, -15, 5, -1], [14, 9, 1, -2, 12, 3, 7, 6, 15, 13, -11, -4, 5, -8], [-4, 1, -13, -10, 2, -9, 6, 7, -5, -14, 3, -8, -15, -12], [-1, -3, 5, -11, 7, -8, 6, 15, -13, 9, -4, -14, 2, 10], [-1, 8, 7, -9, -5, -15, -10, -12, -11, -6, 2, 4, 3, 14], [6, -15, 10, -12, -8, 4, -1, 3, -13, 9, 2, -7, -5, -11], [-9, 8, -10, -7, 14, 5, -2, 12, -13, 3, 1, 4, -11, -6]]",49767,0.0640559196472168,"[[-7, 15, 9, -6, 12, 3, 8, -4, -2, 11, -14, 13, -5, 10], [-8, 11, 10, -6, 14, 3, 13, 1, 7, -15, 5, -9, -4, 12], [14, 10, 6, -15, -1, 5, -9, 4, 12, 13, -11, 8, 2, -7], [9, -6, 7, -11, 8, -12, 3, 13, 15, -14, -5, -1, 2, 10], [7, -1, 14, 3, 13, 12, 2, -15, -4, -6, 9, 11, 10, -8], [13, 5, -11, 12, 8, 9, -7, -1, 10, -4, 14, 3, 15, -2], [-4, -2, 15, 9, -14, 1, -5, 3, -8, -6, 13, 12, 11, 10], [12, -14, 15, 3, 13, 11, -9, 1, 6, 10, -5, 2, -7, -4], [10, 11, 12, 3, -1, 2, -4, -13, 6, -8, -15, 14, 5, -7], [9, 11, 12, -8, 14, 15, 13, -4, -3, 5, 6, -7, 2, 1], [-2, -3, 15, -14, 5, 12, 4, 13, -9, 6, -1, -10, -7, 8], [13, -8, 10, -6, -15, -14, -2, 11, 7, -4, -1, -5, 9, -3], [-6, 8, -15, -14, 5, -2, -12, -3, -1, 9, 10, 11, 7, 4], [-13, 10, 2, -1, -7, 4, 3, -6, 5, 9, -15, -8, 11, -12], [-8, -13, -5, -1, 4, 6, -9, -10, -12, 2, 7, 14, -11, -3]]",38147,0.05625724792480469,"[[8, -11, -5, 12, -14, 3, -2, -6, 7, -13, -10, -9, 15, 4], [14, 11, 10, 9, 15, -7, -1, 8, -5, -3, -4, -13, -6, 12], [14, 9, 15, 8, 12, 5, 13, 7, 1, -10, -6, -2, -11, 4], [2, -14, -8, 6, 11, 9, 15, -12, 10, -5, 7, 13, -1, 3], [-9, -1, -7, -10, -15, -6, -13, 11, -12, 8, -2, -4, 14, -3], [-2, -4, -3, 9, 1, -15, -14, 8, 12, -13, 10, 7, 5, -11], [-10, -14, -15, -8, 9, 1, -12, -13, -4, 5, -6, 3, -11, 2], [3, 9, 10, -15, 13, 2, 12, -6, 11, -7, -5, 1, 14, 4], [-12, -2, -6, 1, -13, -14, -5, 3, -11, 10, 4, 8, 15, 7], [-14, 13, -11, 15, 6, 5, 3, -2, -4, -1, -9, 8, 7, 12], [-2, -12, -15, -14, 3, 6, 10, -13, 4, 9, -5, -7, 1, 8], [-1, 15, 6, 5, -9, 3, -14, -2, 11, 7, 8, 13, 10, 4], [10, -6, 8, -2, 4, 7, -14, 15, 1, 11, 12, -5, 9, 3], [-9, -1, 10, -7, 5, -13, -8, -6, 15, 4, -11, 2, 12, -3], [13, -8, -6, -2, 14, -12, 7, 4, 3, 1, 11, 10, 5, -9]]",40011,0.07381367683410645,5,15,50,1000
8,"[[-4, 3, 8, 7, -5, 6, 2], [6, 1, -5, -7, 4, 8, 3], [-1, 2, 4, 8, 5, 6, 7], [-2, -8, 3, -6, 1, -7, 5], [-1, -3, -6, 8, 2, 7, -4], [-2, 1, 3, 7, 5, 4, 8], [5, -8, -6, 2, -3, -1, -4], [2, 7, 6, 5, -4, 1, 3]]",11496,0.023899078369140625,"[[7, 3, 2, 4, -8, 6, -5], [-5, 4, -1, -3, -6, -8, -7], [6, -2, -7, 8, -4, -5, -1], [7, 1, -5, 6, 8, 3, 2], [1, -2, -8, -6, -3, 4, 7], [-2, -4, 8, -1, 7, -3, 5], [4, -8, -2, -3, 1, 6, 5], [7, 1, -6, -3, -4, 5, -2]]",13286,0.024510622024536133,"[[8, 7, 6, -4, 3, -5, 2], [7, -8, 6, 5, 3, 4, 1], [5, 2, -7, 4, 1, 8, -6], [-6, 8, -7, -3, 1, -5, 2], [-8, -6, 7, -3, 4, -1, 2], [-7, 2, 8, 4, 1, 3, -5], [-4, 2, 8, 1, -3, 6, 5], [-1, 6, -4, 3, 2, 7, -5]]",11395,0.0263216495513916,5,15,50,1000
